File Name,Average Precision,Average Sequence Matcher Similarity Precision,Average Cosine Similarity Precision
09_While_result,24.4675581728213,26.885033915586,43.5314312523536
17_Circle_result,25.8491253644315,30.0743797084624,21.2303586557689
24_Event_result,28.7883597883598,34.2164065807875,26.1294891167612
20_Subroutine_result,36.2402886262535,34.3663846831117,19.6601620294727
27_FlickrRepeat_result,23.4317608507334,23.8062537458687,13.6282043987894
19_Fractal_result,28.3888252075348,24.7485455405487,12.6084643294824
26_Flickr_result,25.6698232323232,24.6610475915299,14.7768638263589
05_If_result,47.2852457720879,42.2516142144148,45.8191172832901
04_Temperature_result,32.4668823240252,35.2431960345357,34.8969207580526
02_FontYellowColor_result,21.5387571365832,26.4773239138292,15.3622837062593
10_GraphicWindow_result,7.33333333333333,14.3754940711462,0
23_MultiDimArray_result,46.5169849790015,34.5802347138464,31.3103116340747
18_Random_result,33.246558996559,31.3557190373397,20.1136532766151
13_LineColor_result,23.5664760409658,28.1724922733117,17.6806943774655
14_LineThickness_result,24.9098956598957,28.2239683224858,20.2694648106647
06_Goto_result,36.5367316797169,35.801029439006,40.9774891174464
15_Rectangle_result,32.258260447036,30.6240920442934,21.0533466250717
25_Events_result,32.4200260283738,33.1448295941546,33.6511492059857
11_GraphicWindowConfig_result,32.5575579480245,37.8125602694371,23.0031481366517
12_DrawLine_result,25.7752945252945,30.4654171779959,32.598011992243
08_ForStep_result,32.5565638065638,32.5381416495419,26.7490477201391
03_Variables_result,28.4174706112822,32.8190332037457,33.6309159210837
07_For_result,24.2509712509713,28.9158472703976,20.8246502719734
22_ArrayIndex_result,35.3464960468157,30.8173183760258,30.991979457695
16_Ellipse_result,23.7208454810496,27.8120576560699,15.9485531405758
21_Array_result,31.8592207121238,25.6524687730092,16.6879199226091
01_HelloWorld_result,19.949494949495,34.2633704070047,22.8962241308869
,,,
Average Precision Mean: 29.086992924876146,,,
Average Sequence Matcher Similarity Precision Mean: 30.374231859536522,,,
Average Cosine Similarity Precision Mean: 24.29740204065818,,,
