File Name,Average Precision,Average Sequence Matcher Similarity Precision,Average Cosine Similarity Precision
verify_expression_result,15.1866613039976,16.1733056610261,4.16666666666667
histogram_result,17.5828363922802,17.1330039901262,15.1244878414491
hello_world_result,29.8607014164415,37.3432861789852,11.0117276525025
copy_io_esc_replace_result,19.2301961102259,17.9753897465918,15.2092815806584
frequency_histogram_result,17.7834167323766,16.923138250814,11.6209246340199
print_eof_result,24.9091970121382,28.3151208809508,5
longest_line_result,13.9836310200434,15.9773578527422,14.426348220984
fold_line_result,12.2483047462004,11.5256662810479,11.40781860509
printf_argument_result,38.8727210182318,47.6347151600544,14.8240453183332
fahrenheit_celsius_result,21.4553776900401,26.3861296702779,23.8344228048939
count_b_t_n_result,24.5627476117954,21.5541994557818,11.8057614713909
temperature_conversion_result,20.9508942567957,25.8592765781662,19.0542795759144
copy_io_result,17.990951928139,18.804755331351,12.5753431878383
check_syntax_result,16.5458918745521,15.6467912337129,13.721305023304
line_80_result,13.8688409445908,15.6217985061865,14.9031582575767
trailing_blanks_result,11.1739390293762,12.7450487837412,13.2500999210836
copy_io_nl_result,21.0466487827421,18.4218740489502,15.0369985901657
word_count_test_result,14.8693297952305,13.9041116585407,10.1877018456764
c_remove_comments_result,13.1571198430209,11.8644594360841,11.8887386441213
celsius_fahrenheit_result,25.583956692499,30.3953556552708,27.0888580888832
,,,
Average Precision Mean: 19.543168210035876,,,
Average Sequence Matcher Similarity Precision Mean: 21.010239218020097,,,
Average Cosine Similarity Precision Mean: 13.806898396527615,,,
