File Name,Average Precision,Average Sequence Matcher Similarity Precision,Average Cosine Similarity Precision
09_While_result,33.8351281673263,36.6855611322234,54.1182585214532
17_Circle_result,49.1051440304931,47.4408847660477,47.1772354527556
24_Event_result,49.7690691374902,47.2633609983792,52.1581132212078
20_Subroutine_result,44.6537061026382,38.9905217182006,35.299604508607
27_FlickrRepeat_result,33.3168750058213,30.0243970572094,17.530183556875
19_Fractal_result,35.3506837153,32.3639498270277,25.7655370516162
26_Flickr_result,31.2843150482672,29.8724062470149,16.3791153476154
05_If_result,42.8148702308366,44.0511367190934,50.4551772895822
04_Temperature_result,48.3395474854396,44.3199681640789,44.1320321266377
02_FontYellowColor_result,38.1513047138047,42.4906450797714,31.7738563190205
10_GraphicWindow_result,18.7878787878788,16.2653807344145,0
23_MultiDimArray_result,38.5465026223666,32.7299734293367,38.998905627284
18_Random_result,45.2764841872046,42.6986719799228,34.5033100193654
13_LineColor_result,57.7578299490222,52.8551921343408,49.8987414810845
14_LineThickness_result,54.2278590113904,49.5940807318854,46.8077095243811
06_Goto_result,46.9869405937889,46.3911433561995,49.0548075927581
15_Rectangle_result,42.5734028075596,47.5375290910974,28.8270450004353
25_Events_result,45.4159339178143,41.7965540994854,43.2299344219501
11_GraphicWindowConfig_result,47.3738015784734,48.6564678158688,37.3794635146346
12_DrawLine_result,50.2758472758473,49.2456024611187,57.6337914273046
08_ForStep_result,50.9469696969697,49.3724044438861,42.5464332157652
03_Variables_result,49.3677000161258,46.6380436616477,44.0269015530583
07_For_result,41.6609686609687,42.0987553864607,29.2572185636077
22_ArrayIndex_result,38.1037414287025,31.4808047856759,38.4313291983635
16_Ellipse_result,23.8675254411022,27.6121654742782,16.7072901703529
21_Array_result,36.6476168283593,29.1136946301558,28.3316057099816
01_HelloWorld_result,42.2558922558923,46.4609623194802,42.8152350125391
,,,
,,,
Average Precision Mean: 42.099760692477176,,,
Average Sequence Matcher Similarity Precision Mean: 40.52037993497412,,,
Average Cosine Similarity Precision Mean: 37.156993904749505,,,
